itemset,rule,hypothesis,conclusion,frequency,confidence,lift,interest,rule ID
"[593, 608]",[608]-->[593],[608],[593],0.14,0.6666666666666667,1.851851851851852,-0.21999999999999997,26
"[50, 1089]",[1089]-->[50],[1089],[50],0.11,0.7333333333333334,2.5287356321839085,-0.18,27
"[260, 1089]",[1089]-->[260],[1089],[260],0.1,0.6666666666666667,1.801801801801802,-0.27,28
"[593, 1089]",[1089]-->[593],[1089],[593],0.1,0.6666666666666667,1.851851851851852,-0.26,29
"[260, 1097]",[1097]-->[260],[1097],[260],0.11,0.6875,1.8581081081081081,-0.26,30
"[356, 1097]",[1097]-->[356],[1097],[356],0.11,0.6875,1.676829268292683,-0.3,31
"[50, 1136]",[1136]-->[50],[1136],[50],0.1,0.625,2.1551724137931036,-0.18999999999999997,32
"[260, 1136]",[1136]-->[260],[1136],[260],0.1,0.625,1.6891891891891893,-0.27,33
"[593, 1136]",[1136]-->[593],[1136],[593],0.1,0.625,1.7361111111111112,-0.26,34
"[608, 1136]",[1136]-->[608],[1136],[608],0.12,0.75,3.5714285714285716,-0.09,35
"[260, 1196]",[1196]-->[260],[1196],[260],0.31,0.9117647058823529,2.46422893481717,-0.06,36
"[356, 1196]",[1196]-->[356],[1196],[356],0.18,0.5294117647058822,1.2912482065997128,-0.22999999999999998,37
"[593, 1196]",[1196]-->[593],[1196],[593],0.17,0.5,1.3888888888888888,-0.18999999999999997,38
"[50, 1197]",[1197]-->[50],[1197],[50],0.11,0.5789473684210527,1.9963702359346644,-0.18,39
"[260, 1197]",[1197]-->[260],[1197],[260],0.13,0.6842105263157895,1.849217638691323,-0.24,40
"[356, 1197]",[1197]-->[356],[1197],[356],0.1,0.5263157894736842,1.2836970474967908,-0.30999999999999994,41
"[457, 1197]",[1197]-->[457],[1197],[457],0.11,0.5789473684210527,2.2267206477732793,-0.15000000000000002,42
"[593, 1197]",[1197]-->[593],[1197],[593],0.13,0.6842105263157895,1.9005847953216375,-0.22999999999999998,43
"[608, 1197]",[1197]-->[608],[1197],[608],0.11,0.5789473684210527,2.756892230576441,-0.09999999999999999,44
"[1136, 1197]",[1197]-->[1136],[1197],[1136],0.1,0.5263157894736842,3.289473684210526,-0.06,45
"[1196, 1197]",[1197]-->[1196],[1197],[1196],0.14,0.736842105263158,2.1671826625387,-0.2,46
"[260, 1198]",[1198]-->[260],[1198],[260],0.23,0.7666666666666667,2.0720720720720722,-0.13999999999999999,47
"[1196, 1198]",[1198]-->[1196],[1198],[1196],0.23,0.7666666666666667,2.2549019607843137,-0.11000000000000001,48
"[608, 1208]",[1208]-->[608],[1208],[608],0.11,0.7333333333333334,3.4920634920634925,-0.09999999999999999,49
"[260, 1210]",[1210]-->[260],[1210],[260],0.27,0.84375,2.2804054054054053,-0.09999999999999998,50
"[356, 1210]",[1210]-->[356],[1210],[356],0.21,0.65625,1.6006097560975612,-0.19999999999999998,51
"[593, 1210]",[1210]-->[593],[1210],[593],0.16,0.5,1.3888888888888888,-0.19999999999999998,52
"[1196, 1210]",[1210]-->[1196],[1210],[1196],0.25,0.78125,2.297794117647059,-0.09000000000000002,53
"[1198, 1210]",[1210]-->[1198],[1210],[1198],0.2,0.625,2.0833333333333335,-0.09999999999999998,54
"[260, 1213]",[1213]-->[260],[1213],[260],0.11,0.7857142857142857,2.1235521235521237,-0.26,55
"[593, 1213]",[1213]-->[593],[1213],[593],0.1,0.7142857142857143,1.9841269841269842,-0.26,56
"[1136, 1213]",[1213]-->[1136],[1213],[1136],0.1,0.7142857142857143,4.464285714285714,-0.06,57
"[1196, 1213]",[1213]-->[1196],[1213],[1196],0.1,0.7142857142857143,2.100840336134454,-0.24000000000000002,58
"[50, 1214]",[1214]-->[50],[1214],[50],0.1,0.5,1.7241379310344829,-0.18999999999999997,59
"[260, 1214]",[1214]-->[260],[1214],[260],0.11,0.5499999999999999,1.4864864864864864,-0.26,60
"[593, 1214]",[1214]-->[593],[1214],[593],0.1,0.5,1.3888888888888888,-0.26,61
"[1089, 1214]",[1214]-->[1089],[1214],[1089],0.12,0.6,4.0,-0.03,62
"[1196, 1214]",[1214]-->[1196],[1214],[1196],0.12,0.6,1.764705882352941,-0.22000000000000003,63
"[1198, 1214]",[1214]-->[1198],[1214],[1198],0.1,0.5,1.6666666666666667,-0.19999999999999998,64
"[356, 1222]",[1222]-->[356],[1222],[356],0.1,0.7142857142857143,1.7421602787456447,-0.30999999999999994,65
"[1, 1240]",[1240]-->[1],[1240],[1],0.1,0.5882352941176471,2.801120448179272,-0.10999999999999999,66
"[260, 1240]",[1240]-->[260],[1240],[260],0.13,0.7647058823529411,2.066772655007949,-0.24,67
"[1196, 1240]",[1240]-->[1196],[1240],[1196],0.15,0.8823529411764705,2.59515570934256,-0.19000000000000003,68
"[1198, 1240]",[1240]-->[1198],[1240],[1198],0.12,0.7058823529411764,2.3529411764705883,-0.18,69
"[1210, 1240]",[1240]-->[1210],[1240],[1210],0.11,0.6470588235294117,2.0220588235294117,-0.21000000000000002,70
"[260, 1270]",[1270]-->[260],[1270],[260],0.15,0.6521739130434782,1.7626321974148058,-0.22,71
"[356, 1270]",[1270]-->[356],[1270],[356],0.16,0.6956521739130435,1.696712619300106,-0.24999999999999997,72
"[1196, 1270]",[1270]-->[1196],[1270],[1196],0.16,0.6956521739130435,2.046035805626598,-0.18000000000000002,73
"[1198, 1270]",[1270]-->[1198],[1270],[1198],0.18,0.7826086956521738,2.608695652173913,-0.12,74
"[1210, 1270]",[1270]-->[1210],[1270],[1210],0.16,0.6956521739130435,2.1739130434782608,-0.16,75
"[110, 1291]",[1291]-->[110],[1291],[110],0.1,0.5263157894736842,1.8796992481203005,-0.18000000000000002,76
"[260, 1291]",[1291]-->[260],[1291],[260],0.17,0.8947368421052632,2.418207681365576,-0.19999999999999998,77
"[480, 1291]",[1291]-->[480],[1291],[480],0.1,0.5263157894736842,2.3923444976076556,-0.12,78
"[1196, 1291]",[1291]-->[1196],[1291],[1196],0.17,0.8947368421052632,2.631578947368421,-0.17,79
"[1198, 1291]",[1291]-->[1198],[1291],[1198],0.17,0.8947368421052632,2.982456140350877,-0.12999999999999998,80
"[1210, 1291]",[1291]-->[1210],[1291],[1210],0.15,0.7894736842105263,2.4671052631578947,-0.17,81
"[1240, 1291]",[1291]-->[1240],[1291],[1240],0.1,0.5263157894736842,3.095975232198142,-0.07,82
"[1270, 1291]",[1291]-->[1270],[1291],[1270],0.11,0.5789473684210527,2.517162471395881,-0.12000000000000001,83
"[110, 2028]",[2028]-->[110],[2028],[110],0.16,0.5517241379310346,1.9704433497536948,-0.12000000000000002,84
"[260, 2028]",[2028]-->[260],[2028],[260],0.15,0.5172413793103449,1.397949673811743,-0.22,85
"[356, 2028]",[2028]-->[356],[2028],[356],0.19,0.6551724137931035,1.5979814970563502,-0.21999999999999997,86
"[527, 2028]",[2028]-->[527],[2028],[527],0.15,0.5172413793103449,1.7835909631391202,-0.13999999999999999,87
"[593, 2028]",[2028]-->[593],[2028],[593],0.16,0.5517241379310346,1.5325670498084294,-0.19999999999999998,88
"[1210, 2028]",[2028]-->[1210],[2028],[1210],0.15,0.5172413793103449,1.6163793103448276,-0.17,89
"[260, 2115]",[2115]-->[260],[2115],[260],0.11,0.7857142857142857,2.1235521235521237,-0.26,90
"[1196, 2115]",[2115]-->[1196],[2115],[1196],0.1,0.7142857142857143,2.100840336134454,-0.24000000000000002,91
"[1198, 2115]",[2115]-->[1198],[2115],[1198],0.12,0.857142857142857,2.8571428571428568,-0.18,92
"[1210, 2115]",[2115]-->[1210],[2115],[1210],0.12,0.857142857142857,2.678571428571428,-0.2,93
"[2028, 2268]",[2268]-->[2028],[2268],[2028],0.1,1.0,3.4482758620689657,-0.18999999999999997,94
"[356, 2329]",[2329]-->[356],[2329],[356],0.1,0.7692307692307693,1.8761726078799252,-0.30999999999999994,95
"[527, 2329]",[2329]-->[527],[2329],[527],0.1,0.7692307692307693,2.6525198938992047,-0.18999999999999997,96
"[260, 2571]",[2571]-->[260],[2571],[260],0.25,0.6756756756756757,1.8261504747991235,-0.12,97
"[356, 2571]",[2571]-->[356],[2571],[356],0.21,0.5675675675675675,1.3843111404087014,-0.19999999999999998,98
"[1196, 2571]",[2571]-->[1196],[2571],[1196],0.24,0.6486486486486487,1.9077901430842608,-0.10000000000000003,99
"[1198, 2571]",[2571]-->[1198],[2571],[1198],0.22,0.5945945945945946,1.9819819819819822,-0.07999999999999999,100
"[1210, 2571]",[2571]-->[1210],[2571],[1210],0.25,0.6756756756756757,2.1114864864864864,-0.07,101
"[2028, 2571]",[2571]-->[2028],[2571],[2028],0.2,0.5405405405405406,1.8639328984156573,-0.08999999999999997,102
"[2571, 2700]",[2700]-->[2571],[2700],[2571],0.1,0.9090909090909092,2.4570024570024573,-0.27,103
"[1, 2858]",[2858]-->[1],[2858],[1],0.11,0.5,2.380952380952381,-0.09999999999999999,104
"[260, 2858]",[2858]-->[260],[2858],[260],0.16,0.7272727272727273,1.9656019656019657,-0.21,105
"[356, 2858]",[2858]-->[356],[2858],[356],0.12,0.5454545454545454,1.3303769401330376,-0.29,106
"[1196, 2858]",[2858]-->[1196],[2858],[1196],0.16,0.7272727272727273,2.1390374331550803,-0.18000000000000002,107
"[1198, 2858]",[2858]-->[1198],[2858],[1198],0.11,0.5,1.6666666666666667,-0.19,108
"[1210, 2858]",[2858]-->[1210],[2858],[1210],0.14,0.6363636363636365,1.988636363636364,-0.18,109
"[1270, 2858]",[2858]-->[1270],[2858],[1270],0.11,0.5,2.1739130434782608,-0.12000000000000001,110
"[2571, 2858]",[2858]-->[2571],[2858],[2571],0.15,0.6818181818181818,1.8427518427518426,-0.22,111
"[260, 2959]",[2959]-->[260],[2959],[260],0.1,0.5882352941176471,1.589825119236884,-0.27,112
"[356, 2959]",[2959]-->[356],[2959],[356],0.1,0.5882352941176471,1.4347202295552368,-0.30999999999999994,113
"[593, 2959]",[2959]-->[593],[2959],[593],0.1,0.5882352941176471,1.6339869281045754,-0.26,114
"[1196, 2959]",[2959]-->[1196],[2959],[1196],0.11,0.6470588235294117,1.9031141868512107,-0.23000000000000004,115
"[2028, 2959]",[2959]-->[2028],[2959],[2028],0.1,0.5882352941176471,2.028397565922921,-0.18999999999999997,116
"[2571, 2959]",[2959]-->[2571],[2959],[2571],0.13,0.7647058823529411,2.066772655007949,-0.24,117
"[260, 3578]",[3578]-->[260],[3578],[260],0.12,0.5217391304347826,1.4101057579318448,-0.25,118
"[356, 3578]",[3578]-->[356],[3578],[356],0.13,0.5652173913043478,1.378579003181336,-0.27999999999999997,119
"[1198, 3578]",[3578]-->[1198],[3578],[1198],0.14,0.6086956521739131,2.028985507246377,-0.15999999999999998,120
"[1210, 3578]",[3578]-->[1210],[3578],[1210],0.13,0.5652173913043478,1.7663043478260867,-0.19,121
"[2028, 3578]",[3578]-->[2028],[3578],[2028],0.12,0.5217391304347826,1.7991004497751124,-0.16999999999999998,122
"[2571, 3578]",[3578]-->[2571],[3578],[2571],0.16,0.6956521739130435,1.8801410105757932,-0.21,123
"[260, 3793]",[3793]-->[260],[3793],[260],0.1,0.7142857142857143,1.9305019305019306,-0.27,124
"[1196, 3793]",[3793]-->[1196],[3793],[1196],0.1,0.7142857142857143,2.100840336134454,-0.24000000000000002,125
"[1210, 3793]",[3793]-->[1210],[3793],[1210],0.1,0.7142857142857143,2.232142857142857,-0.22,126
"[2571, 3793]",[3793]-->[2571],[3793],[2571],0.12,0.857142857142857,2.3166023166023164,-0.25,127
"[58559, 79132]",[79132]-->[58559],[79132],[58559],0.14,0.7777777777777779,3.7037037037037046,-0.06999999999999998,128
"[457, 588]",[588]-->[457],[588],[457],0.12,0.5454545454545454,2.0979020979020975,-0.14,129
"[260, 912]",[912]-->[260],[912],[260],0.11,0.7857142857142857,2.1235521235521237,-0.26,130
"[260, 2762]",[2762]-->[260],[2762],[260],0.14,0.7777777777777779,2.1021021021021022,-0.22999999999999998,131
"[593, 2762]",[2762]-->[593],[2762],[593],0.14,0.7777777777777779,2.160493827160494,-0.21999999999999997,132
"[1196, 2762]",[2762]-->[1196],[2762],[1196],0.15,0.8333333333333334,2.4509803921568625,-0.19000000000000003,133
"[50, 296]",[296]-->[50],[296],[50],0.18,0.5294117647058822,1.8255578093306286,-0.10999999999999999,134
"[296, 457]",[457]-->[296],[457],[296],0.13,0.5,1.4705882352941175,-0.21000000000000002,135
"[296, 527]",[527]-->[296],[527],[296],0.15,0.5172413793103449,1.5212981744421907,-0.19000000000000003,136
"[110, 588]",[588]-->[110],[588],[110],0.11,0.5,1.7857142857142856,-0.17000000000000004,137
"[296, 590]",[590]-->[296],[590],[296],0.14,0.5384615384615385,1.5837104072398192,-0.2,138
"[457, 595]",[595]-->[457],[595],[457],0.1,0.7692307692307693,2.9585798816568047,-0.16,139
"[110, 150]",[150]-->[110],[150],[110],0.12,0.5,1.7857142857142856,-0.16000000000000003,140
"[318, 356]",[356]-->[318],[356],[318],0.3,0.7317073170731707,1.5568240788790868,-0.16999999999999998,141
"[110, 364]",[364]-->[110],[364],[110],0.1,0.5263157894736842,1.8796992481203005,-0.18000000000000002,142
"[318, 364]",[364]-->[318],[364],[318],0.12,0.631578947368421,1.343784994400896,-0.35,143
"[356, 364]",[364]-->[356],[364],[356],0.11,0.5789473684210527,1.41206675224647,-0.3,144
"[318, 457]",[457]-->[318],[457],[318],0.14,0.5384615384615385,1.1456628477905075,-0.32999999999999996,145
"[150, 480]",[480]-->[150],[480],[150],0.11,0.5,2.0833333333333335,-0.13,146
"[318, 480]",[480]-->[318],[480],[318],0.11,0.5,1.0638297872340425,-0.36,147
"[364, 480]",[480]-->[364],[480],[364],0.11,0.5,2.6315789473684212,-0.08,148
"[318, 588]",[588]-->[318],[588],[318],0.13,0.5909090909090909,1.2572533849129595,-0.33999999999999997,149
"[356, 588]",[588]-->[356],[588],[356],0.11,0.5,1.2195121951219512,-0.3,150
"[364, 588]",[588]-->[364],[588],[364],0.14,0.6363636363636365,3.3492822966507183,-0.04999999999999999,151
"[150, 590]",[590]-->[150],[590],[150],0.14,0.5384615384615385,2.243589743589744,-0.09999999999999998,152
"[318, 590]",[590]-->[318],[590],[318],0.17,0.6538461538461539,1.3911620294599019,-0.29999999999999993,153
"[318, 593]",[593]-->[318],[593],[318],0.22,0.6111111111111112,1.3002364066193854,-0.24999999999999997,154
"[150, 165]",[165]-->[150],[165],[150],0.1,0.5555555555555556,2.314814814814815,-0.13999999999999999,155
"[260, 648]",[648]-->[260],[648],[260],0.13,0.5909090909090909,1.597051597051597,-0.24,156
"[356, 648]",[648]-->[356],[648],[356],0.14,0.6363636363636365,1.552106430155211,-0.26999999999999996,157
"[480, 648]",[648]-->[480],[648],[480],0.11,0.5,2.272727272727273,-0.11,158
"[260, 1610]",[1610]-->[260],[1610],[260],0.13,1.0,2.7027027027027026,-0.24,159
"[1196, 1610]",[1610]-->[1196],[1610],[1196],0.11,0.8461538461538461,2.4886877828054295,-0.23000000000000004,160
"[1210, 1610]",[1610]-->[1210],[1610],[1210],0.11,0.8461538461538461,2.644230769230769,-0.21000000000000002,161
"[50, 2762]",[2762]-->[50],[2762],[50],0.1,0.5555555555555556,1.9157088122605366,-0.18999999999999997,162
"[356, 2762]",[2762]-->[356],[2762],[356],0.12,0.6666666666666666,1.6260162601626016,-0.29,163
"[1210, 2762]",[2762]-->[1210],[2762],[1210],0.11,0.6111111111111112,1.9097222222222223,-0.21000000000000002,164
"[1196, 4306]",[4306]-->[1196],[4306],[1196],0.1,0.6666666666666667,1.9607843137254903,-0.24000000000000002,165
"[1210, 4306]",[4306]-->[1210],[4306],[1210],0.1,0.6666666666666667,2.0833333333333335,-0.22,166
"[260, 4993]",[4993]-->[260],[4993],[260],0.13,0.5652173913043478,1.527614571092832,-0.24,167
"[1196, 4993]",[4993]-->[1196],[4993],[1196],0.14,0.6086956521739131,1.7902813299232736,-0.2,168
"[1210, 4993]",[4993]-->[1210],[4993],[1210],0.13,0.5652173913043478,1.7663043478260867,-0.19,169
"[4306, 4993]",[4993]-->[4306],[4993],[4306],0.12,0.5217391304347826,3.4782608695652173,-0.03,170
"[260, 5952]",[5952]-->[260],[5952],[260],0.11,0.6111111111111112,1.6516516516516517,-0.26,171
"[1196, 5952]",[5952]-->[1196],[5952],[1196],0.11,0.6111111111111112,1.7973856209150327,-0.23000000000000004,172
"[4993, 5952]",[5952]-->[4993],[5952],[4993],0.17,0.9444444444444445,4.1062801932367154,-0.06,173
"[260, 6539]",[6539]-->[260],[6539],[260],0.1,0.625,1.6891891891891893,-0.27,174
"[356, 6539]",[6539]-->[356],[6539],[356],0.1,0.625,1.524390243902439,-0.30999999999999994,175
"[1196, 6539]",[6539]-->[1196],[6539],[1196],0.11,0.6875,2.0220588235294117,-0.23000000000000004,176
"[1210, 6539]",[6539]-->[1210],[6539],[1210],0.11,0.6875,2.1484375,-0.21000000000000002,177
"[4886, 6539]",[6539]-->[4886],[6539],[4886],0.1,0.625,4.166666666666667,-0.04999999999999999,178
"[4993, 6539]",[6539]-->[4993],[6539],[4993],0.11,0.6875,2.9891304347826084,-0.12000000000000001,179
"[260, 7153]",[7153]-->[260],[7153],[260],0.13,0.6190476190476191,1.6731016731016732,-0.24,180
"[1196, 7153]",[7153]-->[1196],[7153],[1196],0.14,0.6666666666666667,1.9607843137254903,-0.2,181
"[1210, 7153]",[7153]-->[1210],[7153],[1210],0.12,0.5714285714285714,1.7857142857142856,-0.2,182
"[4993, 7153]",[7153]-->[4993],[7153],[4993],0.19,0.9047619047619048,3.9337474120082816,-0.04000000000000001,183
"[5952, 7153]",[7153]-->[5952],[7153],[5952],0.15,0.7142857142857143,3.9682539682539684,-0.03,184
"[296, 364]",[364]-->[296],[364],[296],0.1,0.5263157894736842,1.547987616099071,-0.24000000000000002,185
"[318, 527]",[527]-->[318],[527],[318],0.21,0.7241379310344828,1.5407190022010273,-0.26,186
"[296, 593]",[593]-->[296],[593],[296],0.2,0.5555555555555556,1.6339869281045751,-0.14,187
"[1198, 4993]",[4993]-->[1198],[4993],[1198],0.13,0.5652173913043478,1.8840579710144927,-0.16999999999999998,188
"[1198, 5952]",[5952]-->[1198],[5952],[1198],0.1,0.5555555555555556,1.851851851851852,-0.19999999999999998,189
"[3578, 4993]",[4993]-->[3578],[4993],[3578],0.12,0.5217391304347826,2.268431001890359,-0.11000000000000001,190
"[4993, 58559]",[58559]-->[4993],[58559],[4993],0.12,0.5714285714285714,2.484472049689441,-0.11000000000000001,191
"[7153, 58559]",[58559]-->[7153],[58559],[7153],0.14,0.6666666666666667,3.174603174603175,-0.06999999999999998,192
"[58559, 68954]",[68954]-->[58559],[68954],[58559],0.1,0.8333333333333334,3.9682539682539684,-0.10999999999999999,193
"[58559, 91529]",[91529]-->[58559],[91529],[58559],0.1,1.0,4.761904761904762,-0.10999999999999999,194
"[110, 589]",[589]-->[110],[589],[110],0.15,0.5172413793103449,1.8472906403940885,-0.13000000000000003,195
"[318, 589]",[589]-->[318],[589],[318],0.15,0.5172413793103449,1.1005135730007338,-0.31999999999999995,196
"[356, 589]",[589]-->[356],[589],[356],0.16,0.5517241379310346,1.3456686291000843,-0.24999999999999997,197
"[480, 589]",[589]-->[480],[589],[480],0.15,0.5172413793103449,2.3510971786833856,-0.07,198
"[457, 648]",[648]-->[457],[648],[457],0.11,0.5,1.923076923076923,-0.15000000000000002,199
"[589, 1210]",[1210]-->[589],[1210],[589],0.17,0.53125,1.8318965517241381,-0.11999999999999997,200
"[318, 1704]",[1704]-->[318],[1704],[318],0.11,0.7333333333333334,1.5602836879432627,-0.36,201
"[356, 1704]",[1704]-->[356],[1704],[356],0.13,0.8666666666666667,2.1138211382113825,-0.27999999999999997,202
"[593, 1704]",[1704]-->[593],[1704],[593],0.11,0.7333333333333334,2.037037037037037,-0.25,203
"[318, 2028]",[2028]-->[318],[2028],[318],0.16,0.5517241379310346,1.1738811445341162,-0.30999999999999994,204
"[260, 589]",[589]-->[260],[589],[260],0.18,0.6206896551724138,1.6775396085740915,-0.19,205
"[296, 589]",[589]-->[296],[589],[296],0.18,0.6206896551724138,1.8255578093306288,-0.16000000000000003,206
"[260, 858]",[858]-->[260],[858],[260],0.18,0.6923076923076923,1.871101871101871,-0.19,207
"[296, 858]",[858]-->[296],[858],[296],0.17,0.6538461538461539,1.923076923076923,-0.17,208
"[318, 858]",[858]-->[318],[858],[318],0.13,0.5,1.0638297872340425,-0.33999999999999997,209
"[356, 858]",[858]-->[356],[858],[356],0.13,0.5,1.2195121951219512,-0.27999999999999997,210
"[527, 858]",[858]-->[527],[858],[527],0.15,0.5769230769230769,1.9893899204244032,-0.13999999999999999,211
"[589, 858]",[858]-->[589],[858],[589],0.14,0.5384615384615385,1.8567639257294435,-0.14999999999999997,212
"[589, 1196]",[1196]-->[589],[1196],[589],0.19,0.5588235294117647,1.926977687626775,-0.09999999999999998,213
"[589, 1198]",[1198]-->[589],[1198],[589],0.15,0.5,1.7241379310344829,-0.13999999999999999,214
"[260, 1200]",[1200]-->[260],[1200],[260],0.1,0.7692307692307693,2.079002079002079,-0.27,215
"[589, 1200]",[1200]-->[589],[1200],[589],0.1,0.7692307692307693,2.6525198938992047,-0.18999999999999997,216
"[1196, 1200]",[1200]-->[1196],[1200],[1196],0.1,0.7692307692307693,2.262443438914027,-0.24000000000000002,217
"[858, 1210]",[1210]-->[858],[1210],[858],0.18,0.5625,2.1634615384615383,-0.08000000000000002,218
"[589, 1214]",[1214]-->[589],[1214],[589],0.11,0.5499999999999999,1.8965517241379308,-0.18,219
"[589, 1240]",[1240]-->[589],[1240],[589],0.12,0.7058823529411764,2.434077079107505,-0.16999999999999998,220
"[296, 2329]",[2329]-->[296],[2329],[296],0.1,0.7692307692307693,2.262443438914027,-0.24000000000000002,221
"[296, 2571]",[2571]-->[296],[2571],[296],0.19,0.5135135135135135,1.5103338632750396,-0.15000000000000002,222
"[589, 2571]",[2571]-->[589],[2571],[589],0.19,0.5135135135135135,1.7707362534948743,-0.09999999999999998,223
"[296, 2858]",[2858]-->[296],[2858],[296],0.13,0.5909090909090909,1.7379679144385027,-0.21000000000000002,224
"[589, 2858]",[2858]-->[589],[2858],[589],0.11,0.5,1.7241379310344829,-0.18,225
"[858, 2858]",[2858]-->[858],[2858],[858],0.13,0.5909090909090909,2.272727272727273,-0.13,226
"[2571, 5445]",[5445]-->[2571],[5445],[2571],0.1,0.7142857142857143,1.9305019305019306,-0.27,227
"[50, 1193]",[1193]-->[50],[1193],[50],0.1,0.5263157894736842,1.8148820326678765,-0.18999999999999997,228
"[318, 1193]",[1193]-->[318],[1193],[318],0.12,0.631578947368421,1.343784994400896,-0.35,229
"[527, 1193]",[1193]-->[527],[1193],[527],0.11,0.5789473684210527,1.9963702359346644,-0.18,230
"[318, 4226]",[4226]-->[318],[4226],[318],0.12,0.6,1.2765957446808511,-0.35,231
"[1214, 4226]",[4226]-->[1214],[4226],[1214],0.1,0.5,2.5,-0.1,232
"[318, 58559]",[58559]-->[318],[58559],[318],0.14,0.6666666666666667,1.418439716312057,-0.32999999999999996,233
"[593, 858]",[858]-->[593],[858],[593],0.14,0.5384615384615385,1.495726495726496,-0.21999999999999997,234
"[260, 1036]",[1036]-->[260],[1036],[260],0.11,0.6111111111111112,1.6516516516516517,-0.26,235
"[296, 1036]",[1036]-->[296],[1036],[296],0.1,0.5555555555555556,1.6339869281045751,-0.24000000000000002,236
"[589, 1036]",[1036]-->[589],[1036],[589],0.11,0.6111111111111112,2.1072796934865905,-0.18,237
"[296, 1089]",[1089]-->[296],[1089],[296],0.1,0.6666666666666667,1.9607843137254903,-0.24000000000000002,238
"[260, 1193]",[1193]-->[260],[1193],[260],0.1,0.5263157894736842,1.422475106685633,-0.27,239
"[296, 1193]",[1193]-->[296],[1193],[296],0.1,0.5263157894736842,1.547987616099071,-0.24000000000000002,240
"[356, 1193]",[1193]-->[356],[1193],[356],0.11,0.5789473684210527,1.41206675224647,-0.3,241
"[593, 1193]",[1193]-->[593],[1193],[593],0.11,0.5789473684210527,1.6081871345029242,-0.25,242
"[858, 1193]",[1193]-->[858],[1193],[858],0.12,0.631578947368421,2.42914979757085,-0.14,243
"[296, 1213]",[1213]-->[296],[1213],[296],0.1,0.7142857142857143,2.100840336134454,-0.24000000000000002,244
"[858, 1213]",[1213]-->[858],[1213],[858],0.11,0.7857142857142857,3.021978021978022,-0.15000000000000002,245
"[50, 1221]",[1221]-->[50],[1221],[50],0.11,0.5789473684210527,1.9963702359346644,-0.18,246
"[110, 1221]",[1221]-->[110],[1221],[110],0.1,0.5263157894736842,1.8796992481203005,-0.18000000000000002,247
"[260, 1221]",[1221]-->[260],[1221],[260],0.16,0.8421052631578947,2.2759601706970125,-0.21,248
"[296, 1221]",[1221]-->[296],[1221],[296],0.14,0.736842105263158,2.1671826625387,-0.2,249
"[527, 1221]",[1221]-->[527],[1221],[527],0.1,0.5263157894736842,1.8148820326678765,-0.18999999999999997,250
"[589, 1221]",[1221]-->[589],[1221],[589],0.14,0.736842105263158,2.5408348457350276,-0.14999999999999997,251
